title,SJR Best Quartile,source_id
Natural Computing,Q2,S149828480
Plant Production Science,Q2,S207539002
Research and Reports in Urology,Q2,S2737296002
Transactions of the American Fisheries Society,Q2,S207943242
Urban Design International,Q1,S69773766
Crop Science,Q2,S48277251
Culture and Organization,Q1,S1076045
Discrete and Computational Geometry,Q2,S103671469
International Journal of Clinical Pharmacy,Q1,S2498751418
International Journal of Cross Cultural Management,Q1,S3650429
International Journal of Experimental Pathology,Q2,S82103187
International Review of Victimology,Q1,S186310538
International Transactions on Electrical Energy Systems,Q2,S2500072609
Journal of Biosafety and Biosecurity,Q1,S4210206731
Journal of Logical and Algebraic Methods in Programming,Q2,S4210169521
Journal of Transportation Engineering Part B: Pavements,Q2,S4210235452
L'Encephale,Q1,
Operative Neurosurgery,Q2,S2734605188
Photogrammetric Record,Q2,S140111354
Rivista Italiana di Paleontologia e Stratigrafia,Q2,S175008448
Annals of Economics and Statistics,Q1,S2764518860
Anthropological Theory,Q1,S14830646
Asian Education and Development Studies,Q1,S2765030381
Disease-a-Month,Q2,S119300341
Hip and Pelvis,Q2,S2764730793
Impact Assessment and Project Appraisal,Q2,S126893828
Industrial Robot,Q2,S166948985
Journal of Clinical Densitometry,Q2,S170982493
Journal of Obstetrics and Gynaecology Research,Q2,S171266453
Journal of Prevention,Q2,S121579133
Mental Health and Prevention,Q2,S4210193110
Palaontologische Zeitschrift,Q2,
Parliamentary Affairs,Q1,S166995097
Sign Language and Linguistics (Online),Q1,
Tumor Biology,Q2,S12644804
Animal Migration,Q1,S2737922656
Annals of Diagnostic Pathology,Q2,S133584415
Applied Biological Chemistry,Q2,S2764370109
Aquatic Geochemistry,Q2,S53129422
Buildings,Q1,S6846437
Cellular and Molecular Bioengineering,Q2,S77874066
Cerebellum and Ataxias,Q3,S4210207911
Disaster Medicine and Public Health Preparedness,Q2,S172925388
Economic and Labour Relations Review,Q2,S159137118
Electrochemical Science Advances,Q2,S4210224418
Environmental Science: Advances,Q2,S4210211247
IEEE Technology and Society Magazine,Q1,S101091692
Infrastructures,Q2,S4210217608
International Journal of Quality and Reliability Management,Q2,S81159284
International Journal of Vegetable Science,Q2,S180041405
Journal of Circulating Biomarkers,Q2,S4210183541
Journal of Electrochemistry,Q2,S127726946
Lasers in Medical Science,Q2,S124030303
Meditteranean Politics,Q1,
Mutation Research - Genetic Toxicology and Environmental Mutagenesis,Q2,S29775604
"Plant Cell, Tissue and Organ Culture",Q1,S32261165
Proceedings of the American Control Conference,-,S4210168941
Rural and Remote Health,Q1,S2477089890
Scientific African,Q1,S4210198261
Statistica Neerlandica,Q2,S152229401
Toxicologic Pathology,Q2,S145558524
Annales des Telecommunications/Annals of Telecommunications,Q2,S164884734
Australasian Journal of Dermatology,Q2,S140888521
Beverages,Q2,S4210199974
Cleft Palate-Craniofacial Journal,Q2,S159788776
Clinical Neurophysiology Practice,Q3,S2898474876
Current Research in Physiology,Q3,S4210183512
Eurasian Mining,Q2,S4210227770
Heart and Vessels,Q2,S66479284
International Journal of Protective Structures,Q2,S39172745
Journal of Applied Learning and Teaching,Q2,
Journal of Asian Business and Economic Studies,Q1,S4210240690
Journal of Cardiovascular Nursing,Q1,S132854162
Journal of Convention and Event Tourism,Q2,S50621198
Journal of Nonverbal Behavior,Q2,S176667235
Oxford Open Materials Science,Q2,S4210237507
Regional and Federal Studies,Q1,S170108492
Respiratory Physiology and Neurobiology,Q2,S72042703
Subterranean Biology,Q1,S2764509370
AI Communications,Q3,S176303223
Differential Equations,Q2,S200871675
European Neurology,Q3,S162735375
International Journal for Numerical Methods in Biomedical Engineering,Q2,S177373469
International Journal for Numerical Methods in Fluids,Q2,S155225502
International Journal of Molecular and Cellular Medicine,Q2,S2764464493
International Journal of Precision Engineering and Manufacturing,Q2,S130039360
International Journal of Quality and Service Sciences,Q2,S103309803
Journal of Hydroinformatics,Q2,S79392371
Logical Methods in Computer Science,Q2,S114379355
Sensors and Diagnostics,Q2,S4210227332
Translational Pediatrics,Q2,S2764863491
British Journal of Oral and Maxillofacial Surgery,Q2,S128631314
Chinese Herbal Medicines,Q1,S2764755576
European Journal of Health Psychology,Q2,S4210228147
Fitoterapia,Q2,S44811770
Forensic Sciences Research,Q1,S4210169164
Fuel Cells,Q2,S176175666
Journal of Applied Entomology,Q2,S87930725
Journal of Optics (United Kingdom),Q2,
Journal of Second Language Studies,Q1,S4210224100
Journal of the Air and Waste Management Association,Q2,S4210204350
Journal of the American Dental Association,Q2,S116566766
Linguistics Vanguard,Q1,S4210237318
Physiological and Molecular Plant Pathology,Q2,S54634327
Proteomics - Clinical Applications,Q2,S118886446
Reviews on Advanced Materials Science,Q2,S65777331
Sexual Development,Q2,S99309566
Shock Waves,Q2,S188738898
Thermochimica Acta,Q2,S160957154
Thrombosis Journal,Q2,S164469042
Advanced Optical Technologies,Q2,S2764547716
Cancer Reports,Q3,S4210241191
Clinical Nuclear Medicine,Q2,S1118231
Cogent Environmental Science,Q2,
"Drug, Healthcare and Patient Safety",Q2,S2736372969
Forest and Society,Q1,S4210185225
Histology and Histopathology,Q2,S60345495
IET Image Processing,Q2,S83215360
Interdisciplinary Perspectives on Infectious Diseases,Q2,S85076888
International Journal of Simulation Modelling,Q2,S153651119
Journal of Aerosol Medicine and Pulmonary Drug Delivery,Q2,S148726610
Journal of Insect Science,Q2,S4210188975
Journal of Media Psychology,Q2,S167406155
Journal of Molecular Structure,Q2,S203479135
Journal of Plant Interactions,Q2,S122769203
Kybernetes,Q1,S168682784
Language Policy,Q1,S44845084
One Ecosystem,Q1,S4210213968
American Museum Novitates,Q1,S115053721
Audiology Research,Q2,S2765033720
Environmental Fluid Mechanics,Q2,S56619941
Information and Computation,Q2,S59933527
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,Q1,
International Journal of Forest Engineering,Q1,S2764515762
International Journal of Fruit Science,Q1,S143717524
International Journal of Sustainable Energy,Q2,S139968001
Journal of Advanced Academics,Q2,S29666029
Journal of Maps,Q2,S38233421
Journal of Marine Engineering and Technology,Q2,S154600122
Journal of Zhejiang University: Science A,Q2,S4210215848
Magazine of Concrete Research,Q2,S187103194
Pharmacy Practice,Q1,S45690524
"Practical Assessment, Research and Evaluation",Q2,S2764647977
Public Money and Management,Q1,S87681011
Reproductive Biology,Q1,S17762386
Telecom,Q2,S4210217568
Theoretical Computer Science,Q2,S90727058
ACM Transactions on Design Automation of Electronic Systems,Q2,S105046310
Acta Odontologica Scandinavica,Q2,S42091764
Aerobiologia,Q2,S12507409
Algebra Universalis,Q2,S178702154
Dairy,Q1,S28349394
European Journal of Social Work,Q1,S100564699
Fisheries Management and Ecology,Q2,S106394429
Fluid Phase Equilibria,Q2,S34870678
Invertebrate Zoology,Q1,S4210198538
Journal of Clinical Pharmacy and Therapeutics,Q2,S156693432
Journal of Foodservice Business Research,Q2,S207176912
Journal of Materials Research,Q2,S19730638
Journal of Mathematical Physics,Q2,S158241587
"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",Q2,S4210190837
Journal of Workplace Learning,Q2,S161695446
Methods and Protocols,Q2,S4210221179
Nursing Clinics of North America,Q2,S111525073
Phi Delta Kappan,Q2,S156752806
Policing,Q1,S23604231
Scandinavian Cardiovascular Journal,Q2,S1492939
Scandinavian Journal of Urology,Q2,S147050413
Smart Science,Q2,S2738220825
Smart Structures and Systems,Q2,S13034552
"Welding in the World, Le Soudage Dans Le Monde",Q1,
Energy Informatics,Q2,S3035173479
Food and Environmental Virology,Q2,S13638121
Integrative Biology (United Kingdom),Q2,
International Journal of Pediatric Otorhinolaryngology,Q2,S200672447
International Tax and Public Finance,Q2,S42192170
JCIS Open,Q2,S4210231036
JCRPE Journal of Clinical Research in Pediatric Endocrinology,Q2,
Journal for Person-Oriented Research,Q2,S4210169490
Journal of Business Economics and Management,Q2,S66524056
Journal of Public Affairs,Q1,S4210184645
Journal of Public Child Welfare,Q1,S71875109
Journal of Teacher Education for Sustainability,Q2,S4210188399
Journal of Toxicology and Environmental Health - Part A: Current Issues,Q2,
Mobilization,Q1,S190942573
OMICS A Journal of Integrative Biology,Q2,S116972989
Pilot and Feasibility Studies,Q2,S2764511738
Radiology and Oncology,Q2,S13003647
Scandinavian Journal of Clinical and Laboratory Investigation,Q2,S5501027
World Journal of Orthopedics,Q2,S2764860420
Advances in Public Health,Q2,S4210228992
Cogent Business and Management,Q2,S2738076829
Evidence-Based Practice in Child and Adolescent Mental Health,Q2,S4210202248
Green Analytical Chemistry,Q2,S4210238349
Humor,Q1,S174777489
Journal of Chemical &amp; Engineering Data,Q2,
Journal of Hydraulic Research/De Recherches Hydrauliques,Q2,
Journal of Microscopy,Q2,S168975578
Journal of Operational Meteorology,Q2,S4210214212
Music and Science,Q1,S4306504942
Ships and Offshore Structures,Q2,S132226890
Shuikexue Jinzhan/Advances in Water Science,Q2,
Transactions of the International Society for Music Information Retrieval,Q1,S4210180030
World Electric Vehicle Journal,Q2,S2913398011
World Journal of Traditional Chinese Medicine,Q1,S4210237877
AIDS Research and Treatment,Q2,S116828316
Computational Statistics,Q2,S132362803
Current Microbiology,Q2,S2248630
European Endodontic Journal,Q1,S4210222611
European Journal of Behavior Analysis,Q2,S2765057445
European Journal of Environmental and Civil Engineering,Q2,S105391359
Fire,Q1,S160215590
Glass Structures and Engineering,Q1,S4210171197
International Journal of Environmental Health Research,Q2,S15239247
Journal of Neuro-Ophthalmology,Q2,S195816289
Journal of the American Association for Laboratory Animal Science,Q1,S193386727
Polar Biology,Q2,S196656238
Acta Cytologica,Q2,S101987544
African Journal of Aquatic Science,Q2,S169546945
Annals of Thoracic Medicine,Q2,S61390954
Australian Zoologist,Q1,S2764740935
Chinese Management Studies,Q2,S149205526
Environmental Values,Q1,S127318573
"History, Archeology and Ethnography of the Caucasus",Q1,S4210212626
Infrared Physics and Technology,Q2,S29254203
International Journal of Osteoarchaeology,Q1,S138209933
"Journal of Intellectual Property, Information Technology and E-Commerce Law",Q1,
Journal of Paleolimnology,Q2,S28101772
Journal of Research in Special Educational Needs,Q2,S183121400
Materials,Q2,S99352657
Research in Mathematics Education,Q2,S79038290
Tobacco Prevention and Cessation,Q1,
Agricultural Finance Review,Q1,S19383905
Annual Plant Reviews Online,Q1,S4363604446
"Arctic, Antarctic, and Alpine Research",Q2,S111448270
Bulletin of Mathematical Sciences,Q2,S4210216696
Deviant Behavior,Q1,S113184965
Drugs - Real World Outcomes,Q2,S2764379982
Evidence-based nursing,Q1,S205870262
Frontiers in Built Environment,Q1,S2597036347
Health Care for Women International,Q1,S130637843
International Journal of Computational Intelligence Systems,Q2,S190680769
Journal of Applied Research in Higher Education,Q2,S2765041812
Journal of Evidence-Based Integrative Medicine,Q1,S4210203230
Journal of Geriatric Physical Therapy,Q2,S2490232976
Journal of Housing and the Built Environment,Q1,S24809831
Journal of Oral Biosciences,Q2,S33990022
Journal of Thermal Stresses,Q2,S54937123
Journal of Toxicology,Q3,S4210198581
Marine Geodesy,Q2,S26175489
Political Quarterly,Q1,S4210233090
3 Biotech,Q2,S4210190239
Archives of Insect Biochemistry and Physiology,Q2,S14369749
Digital Creativity,Q1,S72842422
Fusion Engineering and Design,Q2,S191935395
Gastroenterology Research and Practice,Q3,S14299449
IEEE Journal of Quantum Electronics,Q2,S80223966
Industrial Health,Q2,S132866914
Journal of Cutaneous Pathology,Q2,S92442678
Journal of Elasticity,Q2,S154050210
Journal of Intervention and Statebuilding,Q1,S67907510
Journal of Pediatric Ophthalmology and Strabismus,Q2,S40629775
Journal of Quantitative Analysis in Sports,Q1,S78466176
Journal of Tropical Medicine,Q2,S100045985
Journal of Vibration and Acoustics,Q1,S31534900
Neotropical Ichthyology,Q1,S101991353
Nursing Research and Practice,Q2,S202725144
Parasitology Research,Q1,S155128447
Pharmacogenetics and Genomics,Q1,S192301155
Polar Research,Q2,S182295942
Procedia CIRP,-,S2898565713
Service Oriented Computing and Applications,Q2,S4210170441
Wetlands,Q2,S127668553
Acta Arithmetica,Q2,S141074886
Adaptive Behavior,Q1,S183337005
American Journal on Intellectual and Developmental Disabilities,Q1,S4210192384
Anticancer Research,Q2,S157347057
Aquatic Ecology,Q2,S157918159
Archives of Oral Biology,Q2,S44717366
Biomimetics,Q2,S87464931
Frontiers in Insect Science,Q2,S4210210584
Health Psychology Research,Q2,S2738725704
IEEE Sensors Letters,Q2,S4210220808
"IEEE Transactions on Components, Packaging and Manufacturing Technology",Q2,S50222406
Insectes Sociaux,Q2,S42032724
International Journal of Intelligent Computing and Cybernetics,Q2,S124503262
Issues in Mental Health Nursing,Q3,S111094224
JDDG - Journal of the German Society of Dermatology,Q2,S4210169996
"Journal of Economics, Finance and Administrative Science",Q1,S2764768042
Journal of the Society for Cardiovascular Angiography and Interventions,Q2,S4210220669
Mammalian Biology,Q1,S28739527
Management and Marketing,Q2,S20613913
Parasitology International,Q2,S165236439
Pediatric Dermatology,Q2,S3992287
Plasma Processes and Polymers,Q2,S17577527
Rationality and Society,Q1,S25059752
Rehabilitation Counseling Bulletin,Q2,S88010664
"Vestnik Archeologii, Antropologii i Etnografii",Q1,
AAPS PharmSciTech,Q2,S1234972
Asian Population Studies,Q2,S55641825
Clinical Respiratory Journal,Q2,S102581529
Earth Science Informatics,Q2,S198914822
Enterprise and Society,Q1,S16035445
European Politics and Society,Q1,S2764397878
First Language,Q1,S4210197434
Future Medicinal Chemistry,Q2,S122867665
German Politics,Q1,S66394278
Journal of Ecotourism,Q2,S108064696
Journal of Environmental Law,Q1,S129774924
Journal of Health Care for the Poor and Underserved,Q2,S99400149
Journal of Musculoskeletal Neuronal Interactions,Q2,S6648857
Journal of Public Procurement,Q2,S2913448381
Journal of Sexual Aggression,Q2,S200913412
Nanomanufacturing and Metrology,Q2,S4210179240
Open Access Journal of Clinical Trials,Q1,S2738889213
Physiotherapy Theory and Practice,Q2,S177614173
Studia Logica,Q1,S30880287
Auris Nasus Larynx,Q2,S66787336
Canadian Journal of Plant Pathology,Q2,S4210184169
Frontiers in Energy Research,Q2,S2595193159
Informatica,Q2,S84409463
Intercultural Pragmatics,Q1,S195768125
International Journal of Cardiology: Cardiovascular Risk and Prevention,Q2,S4210217844
International Journal of Industrial Engineering Computations,Q2,S159818241
International Journal of Mathematics,Q2,S105014038
Journal of Group Theory,Q2,S151314372
Limnology,Q2,S207705515
"Microscopy (Oxford, England)",Q2,
Musculoskeletal Care,Q1,S177008655
New Generation Computing,Q2,S165364243
Polymer Engineering and Science,Q2,S114499311
Potato Research,Q2,S52251279
Quaternary Science Advances,Q2,S4210225047
Revista de Educacion a Distancia,Q2,
Water Resources Protection,Q2,S2764588404
Water Waves,Q2,S4210200711
American Journal of Lifestyle Medicine,Q2,S84585612
BMJ Open Quality,Q2,S4210206356
Canadian Review of Sociology,Q1,S4210229212
Clean Energy,Q2,S4210194934
Frontiers in Bioscience - Scholar,Q2,S4210222084
Genes and Cancer,Q3,S200862508
Gong Cheng Li Xue/Engineering Mechanics,Q2,
Jiegou Huaxue,Q2,
Journal of Emerging Technologies in Accounting,Q2,S116843975
Journal of Food Quality,Q2,S70979639
Journal of Intellectual Disabilities,Q2,S153693368
"Journal of Women, Politics and Policy",Q1,S180941013
Linguistics,Q1,S183798913
Review of Contemporary Philosophy,Q1,S4210206023
Thoracic Surgery Clinics,Q2,S4210230859
Yearbook of medical informatics,Q3,S4210231870
Acta Mechanica,Q2,S87240457
Archives of Physiology and Biochemistry,Q2,S19783875
BioTech,Q2,S4210190239
Critical Care Research and Practice,Q2,S49663764
Dizhi Xuebao/Acta Geologica Sinica,Q2,
"Election Law Journal: Rules, Politics, and Policy",Q1,S151257747
ES Food and Agroforestry,Q1,S4210200216
European Journal of Wildlife Research,Q2,S195743144
IEEE Photonics Journal,Q2,S72499069
International Journal of Managerial Finance,Q2,S79989894
Jinshu Xuebao/Acta Metallurgica Sinica,Q1,
Medical Science Educator,Q2,S2764386890
Public Budgeting and Finance,Q2,S184729184
"Signal, Image and Video Processing",Q2,S156904493
American Journal of Health-System Pharmacy,Q1,S105051383
Applied Organometallic Chemistry,Q2,S134627157
BioTechniques,Q2,S79990748
Birth Defects Research,Q2,S23975315
Clinical Epidemiology and Global Health,Q2,S2764432518
Food Additives and Contaminants: Part B Surveillance,Q2,S146701838
Frontiers of Business Research in China,Q2,S71564990
Helvetica Chimica Acta,Q2,S181847678
International Journal of Children's Spirituality,Q1,
Journal of Applied Polymer Science,Q2,S200764475
Journal of Chemical Thermodynamics,Q2,S173979593
Journal of Experimental Algorithmics,Q3,S201104086
Journal of Orthopaedic Surgery,Q2,S160567915
Journal of Politics in Latin America,Q1,S2736728258
Livestock Science,Q1,S14620535
"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",Q2,S126223282
Perceptual and Motor Skills,Q3,S110965136
Post-Communist Economies,Q2,S151220816
Review of Religious Research,Q1,S118554956
Arthropoda Selecta,Q2,
Autoimmune Diseases,Q2,S167142590
CESifo Economic Studies,Q2,S30207186
Discover Sustainability,Q2,S4210179043
"International Conference on Application-Specific Systems, Architectures and Processors, Proceedings",-,
International Journal of Developmental Disabilities,Q3,S2764979803
International Journal of Doctoral Studies,Q2,S2738474347
International Journal of Structural Integrity,Q2,S189853587
International Politics,Q1,S157128309
Intervirology,Q3,S64836871
Journal of Building Physics,Q2,S140027543
Journal of Early Intervention,Q2,S114004174
Journal of Integrative Neuroscience,Q2,S137215245
JRAAS - Journal of the Renin-Angiotensin-Aldosterone System,Q2,S107472416
Mathematical Population Studies,Q2,S176781058
Policing (Oxford),Q1,
Psicologia Educativa,Q2,
Veterinary and Comparative Orthopaedics and Traumatology,Q1,S51546934
Austral Entomology,Q2,S4210180117
Behavioral Sciences of Terrorism and Political Aggression,Q1,S38863834
Canadian Respiratory Journal,Q2,S52620910
Current Dermatology Reports,Q2,S2764856691
Current Medical Science,Q3,S4210178822
In Vivo,Q2,S115443242
International Journal of Laboratory Hematology,Q2,S66208518
International Journal of Lifelong Education,Q2,S56255037
International Journal of Wine Business Research,Q2,S187179583
International Journal of Work-Integrated Learning,Q2,S4363607297
Jornal Brasileiro de Pneumologia,Q3,S143346047
Journal of Immunological Methods,Q3,S201669150
Journal of Moral Philosophy,Q1,S96509893
Journal of Mountain Science,Q2,S36154601
Journal of Pseudo-Differential Operators and Applications,Q2,S81556534
Journal of Social Studies Research,Q2,S73472941
"Journal of Waterway, Port, Coastal and Ocean Engineering",Q2,S4210228272
Managerial and Decision Economics,Q2,S138400101
New Forests,Q1,S199475400
Physical and Occupational Therapy in Pediatrics,Q1,S102185553
PsyCh Journal,Q2,S4210197678
"Recent patents on food, nutrition &amp; agriculture",Q2,
Robotic Intelligence and Automation,Q2,S4387286680
Advances in Microbial Physiology,Q3,S13598995
Atomic Spectroscopy,Q2,S103398315
Central and Eastern European Migration Review,Q2,S4306505840
Chinese Journal of Sociology,Q2,S2764961298
Human Geography(United Kingdom),Q1,
Journal of Cellular Plastics,Q2,S90614866
Journal of Eastern African Studies,Q1,S30572693
Journal of the Operations Research Society of China,Q2,S2764888454
Library Quarterly,Q1,S205139718
Materials Technology,Q2,S127530304
Metals,Q1,S171076697
Nizhnevolzhskiy Arkheologicheskiy Vestnik,Q1,
Philosophical Psychology,Q1,S27428843
Physical Medicine and Rehabilitation Clinics of North America,Q2,S98107870
"Religion, State and Society",Q1,
Sbornik Mathematics,Q2,S89900327
Studies in Graduate and Postdoctoral Education,Q2,S4210209830
Water Science and Technology,Q2,S53450646
Yale journal on regulation,Q1,S46771824
Advances in Hematology,Q3,S2765068629
BioImpacts,Q2,S4210202379
Dentistry Journal,Q2,S136026792
Dermatology Research and Practice,Q2,S102744128
HERD,Q2,S4210217249
International Journal for Educational and Vocational Guidance,Q1,S4210206506
International Journal of Environmental Research,Q2,S15239247
Journal of Experiential Education,Q2,S201876622
Journal of Fish Biology,Q2,S9351502
Journal of Non-Crystalline Solids: X,Q2,S4210209456
Journal of Theoretical Biology,Q2,S109682412
Marine Biotechnology,Q2,S55645480
Microbial Risk Analysis,Q3,S2898539291
Nordic Journal of Criminology,Q1,S4210236220
Optimal Control Applications and Methods,Q2,S92282528
Review of Quantitative Finance and Accounting,Q2,S62110574
Social Influence,Q2,S170741353
Therapeutic Advances in Cardiovascular Disease,Q2,S19824833
Zeitschrift fur Erziehungswissenschaft,Q2,
Zeitschrift fur Padagogische Psychologie,Q3,
Aerospace,Q2,S193624734
Annals of Leisure Research,Q1,S2764576423
Cosmetics,Q2,S152305454
Criminal Justice Policy Review,Q1,S109761077
Global Business Review,Q2,S967494592
Horticulturae,Q1,S193620188
International Journal of Cosmetic Science,Q2,S137372873
International Journal of Energy and Environmental Engineering,Q2,S2764900893
Ionics,Q2,S101472891
Journal of Clinical Biochemistry and Nutrition,Q2,S10422625
Journal of Oral Biology and Craniofacial Research,Q2,S2764859361
Mechanics Research Communications,Q2,S98390232
Metabolic Syndrome and Related Disorders,Q2,S61453932
Molecular and Cellular Probes,Q3,S118384808
Network: Computation in Neural Systems,Q3,S102859716
Orthopedics,Q2,S157799717
Plant Sociology,Q1,S4210240111
Renewable Agriculture and Food Systems,Q2,S124372222
Review of Accounting and Finance,Q1,S95074589
Social Epistemology,Q1,S113020877
Social Marketing Quarterly,Q2,S182227784
Toxin Reviews,Q3,S107864898
Veterinary Sciences,Q1,S2737379694
Applicable Analysis,Q2,S68029218
ChemistryOpen,Q2,S2488117985
Cryobiology,Q2,S87343901
Dementia and Geriatric Cognitive Disorders Extra,Q3,S2764877394
Genetic Programming and Evolvable Machines,Q2,S47930974
International Journal of Sustainable Energy Planning and Management,Q2,S2736467904
JOM,Q2,S116826539
Journal for the Theory of Social Behaviour,Q1,S138274780
Journal of Applied Probability,Q2,S160779208
Journal of Biomedical Research,Q2,S34814058
Journal of Developmental and Physical Disabilities,Q2,S111738958
Journal of Sustainable Water in the Built Environment,Q2,S4210176269
Local Economy,Q1,S201731998
Membranes,Q2,S4210225467
Nutrition Research and Practice,Q2,S34455620
Scandinavian Journal of Disability Research,Q2,S183775936
Scottish Medical Journal,Q2,S59750172
World Journal of Otorhinolaryngology - Head and Neck Surgery,Q2,S2898515288
Annals of Cardiothoracic Surgery,Q2,S2764377274
Australasian Journal on Ageing,Q2,S123849394
Bulletin of Geosciences,Q2,S150891138
Development Genes and Evolution,Q3,S171911960
European Biophysics Journal,Q2,S200539529
"European journal of prosthodontics and restorative dentistry, The",Q2,S2754618277
International Journal of Agricultural and Biological Engineering,Q2,S2764726801
Iranian Journal of Language Teaching Research,Q1,S4306514394
Journal of Laryngology and Otology,Q2,S110757056
Korean Journal of Medical Education,Q2,S194610430
Meteorologische Zeitschrift,Q3,S191518060
Minerva Anestesiologica,Q2,S80724002
Molecular Informatics,Q2,S150938958
Total Environment Research Themes,Q2,S4220651458
Current Topics in Medicinal Chemistry,Q2,S107732428
Experimental Psychology,Q1,S26008998
Fermentation,Q2,S2739076822
IBRO Neuroscience Reports,Q3,S4210237554
International Journal of Number Theory,Q2,S125230230
Journal of Integrative and Complementary Medicine,Q1,S186077364
Journal of Official Statistics,Q2,S79505318
Journal of Transport and Land Use,Q1,S112590812
Micromachines,Q2,S96702057
Microprocessors and Microsystems,Q2,S195663827
On the Horizon,Q2,S4210206589
Ontario Health Technology Assessment Series,Q2,S4306521510
Perspectives in Clinical Research,Q2,S2738047733
AAC: Augmentative and Alternative Communication,Q2,
Acta Histochemica,Q2,S4210188353
Anthropology and Medicine,Q1,S201110913
Applied Biochemistry and Biotechnology,Q2,S153285774
Aquatic Botany,Q2,S61969038
"Clinical Lymphoma, Myeloma and Leukemia",Q3,S186546955
Critical Housing Analysis,Q1,S4210204047
Health Promotion Journal of Australia,Q2,S129807020
Journal of Human Rights,Q1,S139935717
Nongye Jixie Xuebao/Transactions of the Chinese Society of Agricultural Machinery,Q2,
Pediatric Surgery International,Q2,S76925378
Performance Enhancement and Health,Q2,S2764777161
Progress in Geography,Q2,S193412822
Pure and Applied Geophysics,Q2,S78180602
"Science, Technology and Society",Q1,S202144432
Signs,Q1,S165351902
Social Science Journal,Q2,S129906632
World Journal of Transplantation,Q2,S2764518715
ACM Transactions on Storage,Q2,S158124317
Advances in Oto-Rhino-Laryngology,Q2,S2754222102
Cardiology,Q2,S60865174
"Digital Policy, Regulation and Governance",Q2,S4210238510
European Journal of Risk Regulation,Q1,S2764512282
Foodborne Pathogens and Disease,Q1,S132853619
Geotechnical Testing Journal,Q2,S186224356
Indian Journal of Microbiology,Q3,S73816448
Infection Prevention in Practice,Q2,S4210182330
International Journal of Sexual Health,Q1,S120498177
Journal of Psycholinguistic Research,Q1,S148653594
"Life Sciences, Society and Policy",Q1,S2739080197
Maxillofacial Plastic and Reconstructive Surgery,Q2,S2764727958
Music Theory Online,Q1,S963407780
Nutrition and Metabolic Insights,Q2,S4210210841
Rendiconti del Circolo Matematico di Palermo,Q2,S55160269
Romanian Reports in Physics,Q2,S65915788
Sociological Quarterly,Q2,S66666449
Acta Naturae,Q2,S2491839190
American Family Physician,Q2,S154286738
Animal Genetics,Q1,S12146737
Bulletin of Latin American Research,Q2,S205585476
Electrocatalysis,Q3,S65231264
Information Security Journal,Q2,S39280739
International braz j urol : official journal of the Brazilian Society of Urology,Q2,
Journal of Aerospace Information Systems,Q2,S4210240151
Journal of Antibiotics,Q3,S154771817
Journal of Inverse and Ill-Posed Problems,Q2,S79267003
Journal of Legal Analysis,Q1,S2735206538
Journal of Music Teacher Education,Q1,S168897820
Journal of Photochemistry and Photobiology,Q3,S102276873
Journal of Radiation Research,Q2,S40303635
Journal of Transportation Engineering Part A: Systems,Q2,S4210178838
Lymphology,Q3,S94060987
Northwestern University Law Review,Q1,S15963141
Ophthalmic Surgery Lasers and Imaging Retina,Q2,S4210179932
Strain,Q2,S151687936
Avian Conservation and Ecology,Q1,S2486385061
Avian Research,Q1,S4210204301
Children,Q2,S93932044
Community College Journal of Research and Practice,Q2,S21299528
International Journal of Radiation Biology,Q2,S44383424
Journal of Applied Statistics,Q2,S167117542
Journal of Arrhythmia,Q2,S207372207
Journal of Computational Dynamics,Q2,S4210222410
Journal of Data and Information Quality,Q2,S110189822
Journal of Operator Theory,Q2,S178734419
Journal of Place Management and Development,Q2,S6894821
Journal of Sea Research,Q2,S132103761
Medical Law Review,Q1,S167467917
New Zealand Journal of Marine and Freshwater Research,Q2,S33142482
Photosynthetica,Q2,S201514771
Sarcoma,Q2,S48232246
Smart Grids and Sustainable Energy,Q2,S4210229187
Translational Issues in Psychological Science,Q2,S4210230843
American Journal of Therapeutics,Q2,S67118044
Asian Ethnicity,Q1,S39330975
Australasian Journal of Early Childhood,Q2,S143463941
"Bulletin of Science, Technology and Society",Q1,S4210204412
Critical Policy Studies,Q2,S70419765
Entrepreneurial Business and Economics Review,Q1,S2736601860
Health Services Management Research,Q2,S166753014
Journal of Cardiovascular Medicine,Q2,S90613825
Journal of Entrepreneurship,Q2,S123914889
JTCVS Open,Q2,S4210197350
Methodological Innovations,Q2,S2764923239
Multimodal Technologies and Interaction,Q2,S4210226272
Pacific Conservation Biology,Q2,S71161756
Physiological Measurement,Q2,S3164724
Reviews in Agricultural Science,Q2,S4210221001
SoftwareX,Q2,S2506067282
Veterinary Ophthalmology,Q1,S42581992
"Bulletin of Irkutsk State University, Series Mathematics",Q2,S4210210920
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,Q2,S62458012
College English,Q1,S198666238
"Comparative Immunology, Microbiology and Infectious Diseases",Q1,S55958362
Contemporary Drug Problems,Q1,S2764474067
Current Genomics,Q3,S156212020
European Journal for Philosophy of Science,Q1,S2764495318
Facial Plastic Surgery,Q2,S193953920
Hematology,Q3,S199810014
Interventional Neuroradiology,Q2,S193127762
Journal of Biological Inorganic Chemistry,Q2,S107859076
